label,hyper,coin_key,tf,timestamp,open,high,low,close,volume
PENGU,PENGU-USDC,PENGU,1m,1773383820000,0.007361,0.007361,0.007361,0.007361,5508.0
PENGU,PENGU-USDC,PENGU,1m,1773383880000,0.007367,0.00737,0.007367,0.00737,4295.0
PENGU,PENGU-USDC,PENGU,1m,1773383940000,0.007378,0.007378,0.007378,0.007378,2806.0
PENGU,PENGU-USDC,PENGU,1m,1773384000000,0.007381,0.007381,0.007381,0.007381,1491.0
PENGU,PENGU-USDC,PENGU,1m,1773384060000,0.007382,0.007382,0.007382,0.007382,2215.0
PENGU,PENGU-USDC,PENGU,1m,1773384120000,0.007382,0.007385,0.007382,0.007385,10737.0
PENGU,PENGU-USDC,PENGU,1m,1773384180000,0.007385,0.007385,0.007385,0.007385,2455.0
PENGU,PENGU-USDC,PENGU,1m,1773384240000,0.007385,0.007385,0.007385,0.007385,0.0
PENGU,PENGU-USDC,PENGU,1m,1773384300000,0.00738,0.00738,0.007372,0.007372,33801.0
PENGU,PENGU-USDC,PENGU,1m,1773384360000,0.007359,0.007369,0.007359,0.007369,98669.0
PENGU,PENGU-USDC,PENGU,1m,1773384420000,0.007374,0.007381,0.007374,0.007381,4137.0
PENGU,PENGU-USDC,PENGU,1m,1773384480000,0.007374,0.007374,0.007374,0.007374,2048.0
PENGU,PENGU-USDC,PENGU,1m,1773384540000,0.007372,0.007372,0.007372,0.007372,99766.0
PENGU,PENGU-USDC,PENGU,1m,1773384600000,0.007367,0.007367,0.007367,0.007367,1790.0
PENGU,PENGU-USDC,PENGU,1m,1773384660000,0.007367,0.007367,0.007367,0.007367,0.0
PENGU,PENGU-USDC,PENGU,1m,1773384720000,0.007381,0.007381,0.007381,0.007381,2305.0
PENGU,PENGU-USDC,PENGU,1m,1773384780000,0.007375,0.007375,0.007375,0.007375,3087.0
PENGU,PENGU-USDC,PENGU,1m,1773384840000,0.007375,0.007375,0.007375,0.007375,2861.0
PENGU,PENGU-USDC,PENGU,1m,1773384900000,0.007387,0.00739,0.00738,0.00738,149611.0
PENGU,PENGU-USDC,PENGU,1m,1773384960000,0.00738,0.007387,0.00738,0.007384,354120.0
PENGU,PENGU-USDC,PENGU,1m,1773385020000,0.007392,0.007398,0.007392,0.007398,4123.0
PENGU,PENGU-USDC,PENGU,1m,1773385080000,0.007398,0.007398,0.007398,0.007398,0.0
PENGU,PENGU-USDC,PENGU,1m,1773385140000,0.007392,0.007392,0.007389,0.007389,6636.0
PENGU,PENGU-USDC,PENGU,1m,1773385200000,0.007378,0.007378,0.007378,0.007378,2089.0
PENGU,PENGU-USDC,PENGU,1m,1773385260000,0.00737,0.00737,0.007369,0.00737,459022.0
PENGU,PENGU-USDC,PENGU,1m,1773385320000,0.007373,0.007373,0.007372,0.007372,66319.0
PENGU,PENGU-USDC,PENGU,1m,1773385380000,0.00739,0.007392,0.007389,0.007392,155320.0
PENGU,PENGU-USDC,PENGU,1m,1773385440000,0.007403,0.007414,0.007403,0.007413,152970.0
PENGU,PENGU-USDC,PENGU,1m,1773385500000,0.007409,0.007409,0.007409,0.007409,30934.0
PENGU,PENGU-USDC,PENGU,1m,1773385560000,0.007403,0.007409,0.007403,0.007409,43150.0
PENGU,PENGU-USDC,PENGU,1m,1773385620000,0.007416,0.007425,0.007416,0.007425,6201.0
PENGU,PENGU-USDC,PENGU,1m,1773385680000,0.007415,0.007415,0.007415,0.007415,2121.0
PENGU,PENGU-USDC,PENGU,1m,1773385740000,0.007416,0.007416,0.007416,0.007416,3075.0
PENGU,PENGU-USDC,PENGU,1m,1773385800000,0.007411,0.007427,0.007411,0.007427,135927.0
PENGU,PENGU-USDC,PENGU,1m,1773385860000,0.007427,0.007427,0.007427,0.007427,0.0
PENGU,PENGU-USDC,PENGU,1m,1773385920000,0.007427,0.007427,0.007426,0.007426,4418.0
PENGU,PENGU-USDC,PENGU,1m,1773385980000,0.007416,0.007416,0.007416,0.007416,2023.0
PENGU,PENGU-USDC,PENGU,1m,1773386040000,0.007418,0.007418,0.007416,0.007416,4879.0
PENGU,PENGU-USDC,PENGU,1m,1773386100000,0.007419,0.007419,0.007419,0.007419,2102.0
PENGU,PENGU-USDC,PENGU,1m,1773386160000,0.007413,0.007415,0.00741,0.00741,1594627.0
PENGU,PENGU-USDC,PENGU,1m,1773386220000,0.007418,0.007418,0.007418,0.007418,2728.0
PENGU,PENGU-USDC,PENGU,1m,1773386280000,0.007403,0.007403,0.007403,0.007403,1486.0
PENGU,PENGU-USDC,PENGU,1m,1773386340000,0.007401,0.007401,0.007401,0.007401,3433.0
PENGU,PENGU-USDC,PENGU,1m,1773386400000,0.007397,0.007397,0.007392,0.007392,9316.0
PENGU,PENGU-USDC,PENGU,1m,1773386460000,0.007392,0.007392,0.007392,0.007392,0.0
PENGU,PENGU-USDC,PENGU,1m,1773386520000,0.007389,0.007393,0.007389,0.007393,28009.0
PENGU,PENGU-USDC,PENGU,1m,1773386580000,0.007393,0.007393,0.007393,0.007393,0.0
PENGU,PENGU-USDC,PENGU,1m,1773386640000,0.007382,0.007382,0.007382,0.007382,2879.0
PENGU,PENGU-USDC,PENGU,1m,1773386700000,0.007381,0.007381,0.007381,0.007381,1491.0
PENGU,PENGU-USDC,PENGU,1m,1773386760000,0.007379,0.007379,0.007376,0.007376,5096.0
PENGU,PENGU-USDC,PENGU,1m,1773386820000,0.007381,0.007381,0.007381,0.007381,106899.0
PENGU,PENGU-USDC,PENGU,1m,1773386880000,0.007385,0.007385,0.00737,0.00737,4130.0
PENGU,PENGU-USDC,PENGU,1m,1773386940000,0.00737,0.00737,0.00737,0.00737,0.0
PENGU,PENGU-USDC,PENGU,1m,1773387000000,0.00738,0.00739,0.00738,0.00739,76427.0
PENGU,PENGU-USDC,PENGU,1m,1773387060000,0.007392,0.007395,0.007392,0.007393,13832.0
PENGU,PENGU-USDC,PENGU,1m,1773387120000,0.007381,0.007381,0.007381,0.007381,2370.0
PENGU,PENGU-USDC,PENGU,1m,1773387180000,0.007397,0.007397,0.007397,0.007397,4388.0
